sales1_name,chan1_name,chan2_name,all_name,hl,hrf,max,cps,wks,dma1_name,spend,decomp
Acquisition Internet Only,Outdoor,Connectivity,overall,4.95,0.5,202344.6202,1,1,National,71955.11923,69.92333109
Acquisition Internet Only,DoortoDoor,Connectivity,overall,2.38,0.75,58935.99363,1,1,National,50716.16758,45.51209257
Acquisition Internet Only,Television,Connectivity,overall,3.66,0.34,372506.947,1,1,National,113157.5054,61.37613324
Acquisition Internet Only,Radio,Connectivity,overall,1.2,0.4,140106.7102,1,1,National,55005.36538,16.18250598
Up-Sell Whop to Whoppa,Television,Connectivity,overall,2.31,0.6,372506.947,1,1,National,113157.5054,22.7248477
Up-Sell Whop to Whoppa,Radio,Connectivity,overall,0.77,0.7,140106.7102,1,1,National,55005.36538,11.97648114
Up-Sell Whop to Whoppa,Search,Connectivity_Unbranded,overall,0.99,0.05,3456.83,1,1,National,2072.980769,18.22997344
Up-Sell Whop to Whoppa,Facebook,Connectivity,overall,0.77,0.1,27102.71001,1,1,National,7947.878276,13.95036701
Up-Sell Whop to Whoppa,Outdoor,Connectivity,overall,1.39,0.5,202344.6202,1,1,National,71955.11923,16.62573947
Up-Sell Whop to Whoppa,Outbound Calls,Connectivity_Upsell,overall,4.62,0.1,79579.5,1,1,National,31995.35294,114.0621331
Up-Sell Whop to Whoppa,Email,Connectivity_Upsell,overall,1.16,0.1,22951.64,1,1,National,6707.100001,21.84393218
Up-Sell Whop to Whoppa,Direct Marketing,Connectivity_Upsell,overall,4.62,0.3,767880.0999,1,1,National,222213.8643,109.2214164
Up-Sell Whop to Whoppa,DoortoDoor,Connectivity,overall,0.77,0.8,58935.99363,1,1,National,50716.16758,38.32337186
Up-Sell Whop to Whoppa,Dailies,Connectivity,overall,0.77,0.5,222567.6401,1,1,National,78890.19231,11.3827437
Up-Sell Whop to Whoppa,Online Display,Connectivity_Banner,overall,1.16,0.1,92295.26001,1,1,National,42312.49338,15.08425212
Acquisition DTV - TV only,Television,Connectivity,overall,6.93,0.6,372506.947,1,1,National,113157.5054,86.21390048
Acquisition DTV - TV only,Outdoor,Connectivity,overall,0.73,0.95,202344.6202,1,1,National,71955.11923,2.276151158
Acquisition DTV - TV only,DoortoDoor,Connectivity,overall,0.96,0.72,58935.99363,1,1,National,50716.16758,36.09908938
Acquisition DTV - TV only,Outbound Calls,Connectivity_Acquisition,overall,3.37,0.9,68250.00001,1,1,National,24940.65,19.14850696
Acquisition DTV - TV only,Direct Marketing,Connectivity_Acquisition,overall,1.73,0.7,22887,1,1,National,22887,78.52572612
Acquisition DTV - TV only,Email,Connectivity_Acquisition,overall,2.31,0.9,22951.64,1,1,National,4773.829999,17.16082704
Acquisition DTV - TV only,Radio,Connectivity,overall,0.77,0.9,140106.7102,1,1,National,55005.36538,4.160754741
Acquisition DTV - TV only,Online Display,Connectivity_Banner,overall,0.77,0.9,92295.26001,1,1,National,42312.49338,19.42812463
Acquisition DTV - TV only,Facebook,Connectivity,overall,0.77,0.9,27102.71001,1,1,National,7947.878276,1.599962772
Churn mobile,Television,Connectivity,overall,0.01,0.6,372506.947,1,1,National,113157.5054,29.32055707
Churn mobile,Outbound Calls,Connectivity_Retention,overall,0.01,0.45,151462.5,1,1,National,54619.875,11.33385267
Churn mobile,Direct Marketing,Connectivity_Retention,overall,0.01,0.6,198052,1,1,National,77155.475,28.66249385
Churn mobile,Search,Connectivity_Unbranded,overall,0.01,0.6,3456.83,1,1,National,2072.980769,8.048508717
Churn mobile,Email,Connectivity_Acquisition,overall,0.3,0.6,22951.64,1,1,National,4773.829999,7.834806251
Churn mobile,Facebook,Connectivity,overall,4,0.6,27102.71001,1,1,National,7947.878276,7.01221959
Churn mobile,Online Display,Connectivity_Video,overall,0.6,0.3,50010.39999,1,1,National,40675.35851,84.81246474
Churn 2P 3P 4P,Outbound Calls,Connectivity_Retention,overall,1,0.6,151462.5,1,1,National,54619.875,48.59627999
Churn 2P 3P 4P,Online Display,Connectivity_Video,overall,0.01,0.3,50010.39999,1,1,National,40675.35851,129.091273
Churn 2P 3P 4P,Television,Connectivity,overall,3,0.45,372506.947,1,1,National,113157.5054,39.36680885
Churn 2P 3P 4P,Direct Marketing,Connectivity_Retention,overall,2,0.6,198052,1,1,National,77155.475,152.7396516
Churn 2P 3P 4P,Search,Connectivity_Unbranded,overall,0.6,0.6,3456.83,1,1,National,2072.980769,21.06198625
Churn 1P (INT or DTV),Direct Marketing,Connectivity_Retention,overall,5,0.6,198052,1,1,National,77155.475,317.4838358
Churn 1P (INT or DTV),Outbound Calls,Connectivity_Retention,overall,0.6,0.6,151462.5,1,1,National,54619.875,45.14333939
Churn 1P (INT or DTV),Online Display,Connectivity_Video,overall,0.6,0.3,50010.39999,1,1,National,40675.35851,79.69654186
Churn 1P (INT or DTV),DoortoDoor,Connectivity,overall,0.3,0.6,58935.99363,1,1,National,50716.16758,22.20823259
Churn 1P (INT or DTV),Television,Connectivity,overall,0.3,0.6,372506.947,1,1,National,113157.5054,17.47183374
