dma1_name,chan1_name,chan2_name,sales1_name,cpp,a,b,curvegroup_name,all_name
National,Direct Marketing,Connectivity_Acquisition,Acquisition Bundles,1,69.46330682,0.000560391,weekly,overall
National,Direct Marketing,Connectivity_Acquisition,Acquisition DTV - TV only,1,78.52572693,8.04E-04,weekly,overall
National,Direct Marketing,Entertainment_Acquisition,Acquisition Play,1,298.9229763,3.80E-05,weekly,overall
National,Direct Marketing,Entertainment_Acquisition,Acquisition Play More,1,30.20175041,7.36E-05,weekly,overall
National,Direct Marketing,Connectivity_Retention,Churn mobile,1,29.52334504,4.58E-05,weekly,overall
National,Direct Marketing,Connectivity_Retention,Churn 2P 3P 4P,1,153.2799643,7.32012E-05,weekly,overall
National,Direct Marketing,Connectivity_Retention,Churn 1P (INT or DTV),1,318.0490996,8.20767E-05,weekly,overall
National,Direct Marketing,Entertainment_Retention,Churn entertainment,1,123.5396219,6.75E-06,weekly,overall
National,Direct Marketing,Connectivity_Cross Sell,Cross-Sell Mobile,1,1065.017759,1.72875E-05,weekly,overall
National,SMS,Base North,Churn - Postpaid - North,1,198.2125317,0.000116594,weekly,overall
National,SMS,Base North,Prepaid to Postpaid - North,1,76.92667586,0.000318102,weekly,overall
National,SMS,Base South,Prepaid to Postpaid - South,1,40.85675492,0.000246216,weekly,overall
National,Radio,Base North,Prepaid to Postpaid - North,1,50.05046316,4.81191E-05,weekly,overall
National,Radio,Base North,Acquisition - Postpaid - North,1,37.07535071,4.50411E-05,weekly,overall
National,Radio,Entertainment,Acquisition Play,1,270.1733045,2.16984E-05,weekly,overall
National,Radio,Entertainment,Up-sell Play to Play More,1,6.204139461,0.000562641,weekly,overall
National,Radio,Entertainment,Acquisition Play Sports,1,106.7293936,4.12302E-05,weekly,overall
National,Radio,Entertainment,Acquisition Play More,1,36.12748772,2.59317E-05,weekly,overall
National,Radio,Base South,Acquisition - Postpaid - South,1,75.47005769,2.34398E-05,weekly,overall
National,Radio,Base South,Prepaid to Postpaid - South,1,93.29704282,2.30292E-05,weekly,overall
National,Radio,Base,Acquisition - Prepaid,1,233.947884,4.42724E-05,weekly,overall
National,Radio,Connectivity,Acquisition Bundles,1,86.28774873,8.32E-05,weekly,overall
National,Radio,Connectivity,Acquisition Internet Only,1,17.10913939,5.30E-05,weekly,overall
National,Radio,Connectivity,Up-Sell Whop to Whoppa,1,12.00561821,0.000109464,weekly,overall
National,Radio,Connectivity,Cross-Sell Mobile,1,113.7851253,2.27159E-05,weekly,overall
National,Radio,Connectivity,Acquisition DTV - TV only,1,4.16079545,2.10E-04,weekly,overall
National,Dailies,Base North,Acquisition - Postpaid - North,1,26.90837368,0.000139309,weekly,overall
National,Dailies,Base South,Churn - Postpaid - South,1,115.8333599,1.58E-04,weekly,overall
National,Dailies,Base South,Acquisition - Postpaid - South,1,27.13071012,0.000371978,weekly,overall
National,Dailies,Base,Acquisition - Prepaid,1,170.3039145,0.000134242,weekly,overall
National,Dailies,Connectivity,Acquisition Bundles,1,36.96572929,0.000124481,weekly,overall
National,Dailies,Connectivity,Cross-Sell Mobile,1,117.5418681,0.000110586,weekly,overall
National,Dailies,Connectivity,Up-Sell Whop to Whoppa,1,11.85111259,4.09547E-05,weekly,overall
National,Promotions - Postpaid,Base,Acquisition - Postpaid - North,1,697.0165989,2.11432E-07,weekly,overall
National,Promotions - Postpaid,Base,Acquisition - Postpaid - South,1,1148.35028,2.12605E-07,weekly,overall
National,Promotions - Postpaid,Base,Churn - Postpaid - South,1,561.959634,2.12245E-07,weekly,overall
National,Promotions - Postpaid,Base,Churn - Postpaid - North,1,798.760522,2.13035E-07,weekly,overall
National,Promotions - Postpaid,Base,Prepaid to Postpaid - South,1,1064.575448,2.1202E-07,weekly,overall
National,Outdoor,Base North,Churn - Postpaid - North,1,34.16668895,9.3937E-05,weekly,overall
National,Outdoor,Base North,Acquisition - Postpaid - North,1,1.886968779,0.000596083,weekly,overall
National,Outdoor,Base South,Acquisition - Postpaid - South,1,31.80710386,1.66679E-05,weekly,overall
National,Outdoor,Base South,Prepaid to Postpaid - South,1,0.947004108,0.000313238,weekly,overall
National,Outdoor,Base South,Churn - Postpaid - South,1,54.15113311,6.11883E-05,weekly,overall
National,Outdoor,Connectivity,Acquisition Bundles,1,177.8013671,7.51789E-05,weekly,overall
National,Outdoor,Connectivity,Cross-Sell Mobile,1,160.9286592,3.44747E-05,weekly,overall
National,Outdoor,Connectivity,Acquisition Internet Only,1,70.78234564,6.13101E-05,weekly,overall
National,Outdoor,Connectivity,Up-Sell Whop to Whoppa,1,17.02643641,5.21063E-05,weekly,overall
National,Outdoor,Connectivity,Acquisition DTV - TV only,1,2.276157497,0.000177768,weekly,overall
National,Unbranded Search,Base North,Acquisition - Postpaid - North,1,33.3347923,0.000999139,weekly,overall
National,Unbranded Search,Base North,Churn - Postpaid - North,1,43.86049776,0.000501307,weekly,overall
National,Unbranded Search,Base North,Prepaid to Postpaid - North,1,27.29443443,0.000815563,weekly,overall
National,Unbranded Search,Base South,Acquisition - Postpaid - South,1,118.184776,0.000253186,weekly,overall
National,Unbranded Search,Base South,Churn - Postpaid - South,1,24.79428233,0.001186478,weekly,overall
National,Unbranded Search,Base South,Prepaid to Postpaid - South,1,221.4034823,0.000251363,weekly,overall
National,Magazine,Base South,Acquisition - Postpaid - South,1,33.67269104,1.40746E-05,weekly,overall
National,Free Sheet,Base,Acquisition - Prepaid,1,119.8099129,0.000134103,weekly,overall
National,Online Display,Connectivity_Banner,Acquisition Bundles,1,45.65832126,0.0003033,weekly,overall
National,Online Display,Connectivity_Banner,Cross-Sell Mobile,1,86.11322428,3.14643E-05,weekly,overall
National,Online Display,Connectivity_Banner,Up-Sell Whop to Whoppa,1,29.95812169,1.65482E-05,weekly,overall
National,Online Display,Connectivity_Banner,Acquisition DTV - TV only,1,19.42815115,0.000319155,weekly,overall
National,Online Display,Connectivity_Video,Acquisition Internet Only,1,108.9860117,0.000796025,weekly,overall
National,Online Display,Connectivity_Video,Churn mobile,1,87.54652896,8.52207E-05,weekly,overall
National,Online Display,Connectivity_Video,Churn 2P 3P 4P,1,136.3194257,7.22063E-05,weekly,overall
National,Online Display,Connectivity_Video,Churn 1P (INT or DTV),1,82.14553351,8.63623E-05,weekly,overall
National,Online Display,Entertainment_Video,Acquisition Play Sports,1,533.8807289,2.78428E-05,weekly,overall
National,Online Display,Entertainment_Video,Acquisition Play,1,1945.503464,2.74136E-05,weekly,overall
National,Online Display,Entertainment_Video,Acquisition Play More,1,51.53566118,2.83331E-05,weekly,overall
National,Online Display,Entertainment_Video,Churn entertainment,1,1059.271777,1.77859E-05,weekly,overall
National,Online Display,Entertainment_Video,Up-sell Play to Play More,1,22.08985581,5.79331E-05,weekly,overall
National,Online Display,Entertainment_Banner,Up-sell Play to Play More,1,15.63806315,0.00038563,weekly,overall
National,Base,Acquisition Bundles,Acquisition Bundles,1,4110000,10,weekly,overall
National,Base,Cross-Sell Mobile,Cross-Sell Mobile,1,4110000,10,weekly,overall
National,Base,Acquisition Internet Only,Acquisition Internet Only,1,4110000,10,weekly,overall
National,Base,Up-Sell Whop to Whoppa,Up-Sell Whop to Whoppa,1,4110000,10,weekly,overall
National,Base,Acquisition DTV - TV only,Acquisition DTV - TV only,1,4110000,10,weekly,overall
National,Base,Churn mobile,Churn mobile,1,4110000,10,weekly,overall
National,Base,Churn 2P 3P 4P,Churn 2P 3P 4P,1,4110000,10,weekly,overall
National,Base,Churn 1P (INT or DTV),Churn 1P (INT or DTV),1,4110000,10,weekly,overall
National,Base,Churn entertainment,Churn entertainment,1,4110000,10,weekly,overall
National,Base,Acquisition Play Sports,Acquisition Play Sports,1,4110000,10,weekly,overall
National,Base,Acquisition Play,Acquisition Play,1,4110000,10,weekly,overall
National,Base,Acquisition Play More,Acquisition Play More,1,4110000,10,weekly,overall
National,Base,Up-sell Play to Play More,Up-sell Play to Play More,1,4110000,10,weekly,overall
National,Base,Acquisition - Postpaid - North,Acquisition - Postpaid - North,1,4110000,10,weekly,overall
National,Base,Acquisition - Postpaid - South,Acquisition - Postpaid - South,1,4110000,10,weekly,overall
National,Base,Acquisition - Prepaid,Acquisition - Prepaid,1,4110000,10,weekly,overall
National,Base,Churn - Postpaid - South,Churn - Postpaid - South,1,4110000,10,weekly,overall
National,Base,Churn - Postpaid - North,Churn - Postpaid - North,1,4110000,10,weekly,overall
National,Base,Prepaid to Postpaid - North,Prepaid to Postpaid - North,1,4110000,10,weekly,overall
National,Base,Prepaid to Postpaid - South,Prepaid to Postpaid - South,1,4110000,10,weekly,overall
